cond_id,cond_label,N_async_phases,meanAngle_rad,meanPhase_frac,R,circStd_rad
1,"$f_w$ fixed, $\theta$ fixed",9377,0.187766544482901,0.0298839737017379,0.936739411771886,0.361524949414924
2,"$f_w$ dyn, $\theta$ fixed",6516,0.130136156403857,0.0207118125666538,0.967754484343139,0.256034590446237
3,"$f_w$ dyn, $\theta$ dyn",5292,0.107995505302836,0.0171880185006533,0.965616802762609,0.264530557707383
